id,acl_sentence,claim,annotation,user,cross_annotations,cross_users
1520,2133,"The area of South East England is 19,096 km ².",,,,
1521,2133,Oxford is the name of the city in South East England.,,,,
1522,2133,The population of South East England in 2011 is over eight and a half million.,,,,
1523,2133,The headquarters for the region's governmental bodies is located in Guildford.,,,,
1524,2133,The third largest region of England is South East England.,,,,
1525,2133,"Along with Brighton and Hove, Canterbury, Chichester, Oxford, Portsmouth, Southampton and Southampton, Winchester is located in South East England.",,,,
1526,2133,South East England ranks third among the largest regions of England.,,,,
1527,2133,"Along with Milton Keynes, a major settlement in the south east is Reading.",,,,
1528,2133,"Along with Winchester and Brighton and Hove, Southampton is in South East England.",,,,
1529,2133,"The area of South East England is 7,373 sq mi.",,,,
1530,2133,"Along with Chichester, Oxford, Portsmouth, Southampton and Winchester, Canterbury is in the south east.",,,,
1531,2133,"Along with Hove, Canterbury, Chichester, Oxford, Portsmouth, Southampton and Winchester, Brighton is in South East England.",,,,
1532,2133,The name of the city in South East England is Portsmouth.,,,,
1533,5321,The closest neighbor to Vanuatu is Fiji.,,,,
1534,5321,The closest neighbor to Fiji to the east is Tonga.,,,,
1535,5321,The name of the closest island to Fiji is Kermadec Islands.,,,,
1536,5321,Fiji's closest neighbor to the southwest is New Caledonia.,,,,
1537,5321,There are more than 330 islands in the archipelago of Fiji.,,,,
1538,5321,The closest neighbor to Fiji is Tuvalu.,,,,
1539,5321,The name of the closest neighbor to Fiji is Samoas.,,,,
1540,5321,There are more than 500 islets in Fiji.,,,,
1541,5321,The total land area of Fiji is about 18300 km2.,,,,
1542,5321,The name of the closest neighbor to Fiji is New Zealand's.,,,,
1543,5321,The name of the closest island to Fiji is Futuna.,,,,
1544,5321,"Along with the Samoas and Futuna, Wallis is the closest neighbor of Fiji.",,,,
1545,5321,The farthest island from Fiji is Ono-i-Lau.,,,,
1546,5321,110 of Fiji's islands are permanently inhabited.,,,,
1547,5321,Fiji's closest neighbor is Vanuatu.,,,,
1548,5321,Wallis and Futuna is in France.,,,,
1549,6419,The previous name of French Indochina was French.,,,,
1550,6419,The Indochinese Union was officially known as the Union indochinoise in 1887.,,,,
1551,6419,"Along with Cochinchina, Annam was formed in 1887.",,,,
1552,6419,The original name of French Indochina was IndochineFrench.,,,,
1553,6419,French Indochina was formerly spelled as China.,,,,
1554,6419,Another name for the Indochinese Federation is Fédération.,,,,
1555,6419,The French Indochina was officially known as the Indochinese Federation after 1947.,,,,
1556,6419,The Indochinese Federation was formed in 1947.,,,,
1557,6419,"Tonkin, Annam, and Cochinchina are two regions of Vietnamese nationality.",,,,
1558,6419,The abbreviation for French Indochina is Cantonese.,,,,
1559,6419,The Indochinese Union was located in Southeast Asia.,,,,
1560,6419,The name of the north Vietnamese region is Tonkin.,,,,
1561,6419,French Indochina was formerly spelled as Indochine.,,,,
1562,6419,The French Indochina grouped with Cambodia in 1887.,,,,
1563,6419,The name of the southern region of the French Indochina was Cochinchina.,,,,
1564,6419,The official name of French Indochina was the Indochinese Union.,,,,
1565,6419,The Indochinese Union had three Vietnamese regions.,,,,
1566,2721,"Along with Telugu, Sayyeshaa appears in Tamil.",,,,
1567,2721,Sayyeshaa made her Bollywood debut in Ajay Devgn's Shivaay.,,,,
1568,2721,Sayyeshaa is Indian.,,,,
1569,2721,Sayyeshaa appears in Telugu.,,,,
1571,2721,Sayyeshaa first appeared in Bollywood films.,,,,
1572,2721,Sayyeshaa starred in the Telugu film Akhil (2015).,,,,
1573,2721,Sayyeshaa made her Bollywood debut in 2016.,,,,
1574,2721,Sayyeshaa appears in Hindi.,,,,
1575,2721,SayyeshaaSayyeshashaa is the name of Sayyesha a Sayyeshasaa.,,,,
1576,4412,The name of Avril Goodbye Lullaby was Lavigne.,,,,
1577,4412,Lavigne left RCA Records in 2011.,,,,
1578,4412,Avril Lavigne ranked fourth on the US Billboard 200 and UK Albums Chart.,,,,
1579,4412,Lavigne's fifth album was released on 1 November 2013.,,,,
1580,4412,Avril Lavigne released Goodbye Lullaby.,,,,
1581,4412,Avril Lavigne's album Goodbye Lullaby reached the top of Billboard 200.,,,,
1582,4412,Lavigne left the RCA Records label in 2011.,,,,
1583,4412,Avril Lavigne ranked third on the US Billboard 200 and UK Albums Chart.,,,,
1584,4412,Avril Lavigne had 1 top album on the US Billboard 200 and UK Albums Chart.,,,,
1585,4412,"Along with Japan, Goodbye Lullaby landed Lavigne's third number 1 album in Australia.",,,,
1586,4412,Avril Lavigne's Goodbye Lullaby ranked on the Billboard 200 in the US.,,,,
1587,4412,Epic Records released Lavigne's fifth album.,,,,
1588,4412,Avril Lavigne had 10 top albums on the US Billboard 200 and UK Albums Chart.,,,,
1589,4412,The title of Avril Lavigne's fourth top 10 album was Goodbye Lullaby.,,,,
1590,4412,Goodbye Lullaby was released in Japan.,,,,
1592,4412,Lavigne began work on her fifth album three months after Goodbye Lullaby.,,,,
1593,4412,Avril Lavigne's album Goodbye Lullaby reached the UK Albums Chart.,,,,
1594,4412,The title of Lavigne's eponymous album was fifth.,,,,
1595,662,Amos & Andrew was released in 1993.,,,,
1596,662,Black Snake Moan was released in 2006.,,,,
1597,662,Jackson's likeness was used for the Ultimate version of Nick Fury.,,,,
1598,662,Jackie Brown was released in 1997.,,,,
1599,662,The name of Samuel L. Jackson's 1992 film was Patriot Games.,,,,
1600,662,Samuel L. Jackson appeared in the Star Wars prequel trilogy.,,,,
1601,662,Samuel L. Jackson appeared in Unbreakable (2000).,,,,
1602,662,Django Unchained was released in 2012.,,,,
1603,662,The name of Samuel L. Jackson's 2006 film was Black Snake Moan.,,,,
1604,662,The Star Wars prequel trilogy began in 1999-2005.,,,,
1605,662,Samuel L. Jackson collaborated with Quentin Tarantino on Pulp Fiction.,,,,
1606,662,The name of Samuel L. Jackson's 2012 film was Django Unchained.,,,,
1607,662,Jungle Fever was released in 1991.,,,,
1608,662,Pulp Fiction was released in 1994.,,,,
1609,662,Samuel L. Jackson's real name was Jackson.,,,,
1610,662,The name of the movie that Samuel L. Jackson starred in was Die Hard with a Vengeance (1995).,,,,
1611,662,True Romance was the name of Samuel L. Jackson's 1993 film.,,,,
1612,662,The name of Samuel L. Jackson's 1993 film was Amos & Andrew.,,,,
1613,662,Samuel L. Jackson worked for Marvel Comics.,,,,
1614,662,Samuel L. Jackson worked with Quentin Tarantino on The Hateful Eight (2015).,,,,
1615,662,Snakes on a Plane was the name of the 2006 film starring Samuel L. Jackson.,,,,
1616,662,The name of the 2001 film that Samuel L. Jackson starred in was The 51st State (2001).,,,,
1617,662,"Along with Samuel L. Jackson, Quentin Tarantino directed Pulp Fiction.",,,,
1618,662,Samuel L. Jackson appeared in the Marvel Cinematic Universe.,,,,
1619,662,Samuel L. Jackson starred in Jungle Fever.,,,,
1620,662,Patriot Games was released in 1992.,,,,
1621,662,The name of Samuel L. Jackson's 1993 film was Jurassic Park.,,,,
1622,662,Samuel L. Jackson appeared in over 100 films.,,,,
1623,662,The Ultimate version of Jackson's character was Nick Fury.,,,,
1624,662,Samuel L. Jackson achieved fame and critical acclaim in the early 1990s.,,,,
1625,662,The name of the film that Samuel L. Jackson starred in was Shaft (2000).,,,,
1626,662,The name of Samuel L. Jackson's 1991 film was Jungle Fever.,,,,
1627,662,Samuel L. Jackson collaborated with Quentin Tarantino on the film Jackie Brown in 1997.,,,,
1628,1996,Uncle Ben raised Spider-Man.,,,,
1629,1996,Spider-Man's creators gave him Spider-ManLee as a teenager.,,,,
1630,1996,Spider-Man's gave him super strength and agility.,,,,
1631,1996,The name of the character created by Lee and Ditko was Spider-Man.,,,,
1632,1996,Spider-Man first appeared in the early 1960s.,,,,
1633,1996,Aunt May raised Spider-Man.,,,,
1634,1996,Ditko created Spider-Man.,,,,
1635,1996,Spider-Man first appeared first.,,,,
1636,147,"Kenny Rogers was voted the ""favorite Singer of All-Time"" by readers of both USA Today and People in 1986.",,,,
1637,147,"Two of Kenny Rogers albums are featured in the About.com poll of ""The 200 Most Influential Country Albums Ever"".",,,,
1638,147,"Kenny Rogers was voted the ""favorite Singer of All-Time"" in 1986.",,,,
1639,147,"Kenny Rogers announced his retirement on September 25, 2015.",,,,
1640,147,Kenny Rogers announced that he was retiring from the show business.,,,,
1641,147,"USA Today voted Kenny Rogers the ""favorite Singer of All-Time"" in 1986.",,,,
1642,147,"People voted Kenny Rogers the ""favorite Singer of All-Time"" in 1986.",,,,
1643,147,Kenny Rogers was Rogers.,,,,
1644,147,Kenny was voted the favorite Singer of All-Time in a 1986 poll.,,,,
1645,147,Kenny Rogers announced his retirement on NBC's Today Show.,,,,
1646,147,About.com featured The Gambler and Kenny in a poll.,,,,
1647,147,"The Gambler and Kenny are featured in the About.com poll ""The 200 Most Influential Country Albums Ever"".",,,,
1648,147,"The Gambler is the Kenny Rogers'album that is featured in the About.com poll of ""The 200 Most Influential Country Albums Ever"".",,,,
1649,599,David Leitch directed Atomic Blonde.,,,,
1650,599,Atomic Blonde is American.,,,,
1651,599,Atomic Blonde was released in 2017.,,,,
1652,599,Kurt Johnstad wrote Atomic Blonde.,,,,
1653,599,Antony Johnston wrote The Coldest City.,,,,
1654,599,Sam Hart's wrote The Coldest City.,,,,
1655,599,The Coldest City was published in 2012.,,,,
1656,599,The name of the graphic novel that was based on Atomic Blonde was The Coldest City.,,,,
1657,599,The name of the spy thriller film Atomic Blonde is Atomic Blende.,,,,
1658,3740,Princess Agents is Chinese.,,,,
1659,3740,Princess Agents is the name of the 2017 Chinese television series based on the novel by Xiao Xiang Dong Er.,,,,
1660,3740,"Along with Zanilia Zhao and Shawn Dou, Lin Gengxin is the star of Princess Agents.",,,,
1661,3740,Princess Agents was released in 2017.,,,,
1662,3740,Princess Agents is based on the novel 11.,,,,
1663,3740,Xiao Xiang Dong Er wrote the novel 11 Chu Te Gong Huang Fei.,,,,
1664,3740,"Along with Zanilia Zhao and Lin Gengxin, Shawn Dou stars in Princess Agents.",,,,
1665,3740,Zanilia Zhao stars in Princess Agents.,,,,
1666,3740,Princess Agents is based on the novel 11 Chu Te Gong Huang Fei.,,,,
1676,2152,Box Office Mojo ranked Elizabeth Banks as the highest grossing actor of all time by 32nd.,,,,
1677,2152,Elizabeth Banks reprise her role as Lindsay in Wet Hot American Summer in 2015.,,,,
1678,2152,Scrubs and Modern Family earned Elizabeth Banks a Primetime Emmy Award nomination.,,,,
1679,2152,Elizabeth Banks played Lindsay in the Netflix miniseries Wet Hot American Summer.,,,,
1680,2152,Elizabeth Banks reprises the role of Lindsay in Wet Hot American Summer for the Netflix miniseries Wet Hot Summer: First Day of Camp.,,,,
1681,2152,Elizabeth Banks reprise her role as Lindsay in Wet Hot American Summer: First Day of Camp in 2015.,,,,
1682,2152,Elizabeth Banks received the Primetime Emmy Award for her roles on Scrubs and Modern Family.,,,,
1683,2152,Box Office Mojo ranked Elizabeth Banks sixth as a female actor.,,,,
1684,2152,Box Office Mojo ranked Banks as the 32nd-highest grossing actor of all time.,,,,
1685,1854,J. J. Abrams directed the Star Wars sequel.,,,,
1686,1854,"Along with Daisy Ridley, Adam Driver and Oscar Isaac, John Boyega co-starred in the Star Wars sequel.",,,,
1687,1854,"Along with Daisy Ridley, John Boyega, Adam Driver, and Daisy Ridley, Oscar Isaac co-starred in the sequel.",,,,
1688,1854,"Along with Lawrence Kasdan, Michael Arndt wrote the screenplay for the Star Wars sequel.",,,,
1689,1854,"Along with Daisy Ridley, John Boyega, Oscar Isaac, and Carrie Fisher, Adam Driver co-starred in the Star Wars sequel.",,,,
1690,1854,The sequel films are planned to be released two years apart.,,,,
1691,1854,The name of the sequel to the original trilogy is Star Wars.,,,,
1692,1854,"Harrison Ford co-starred with Daisy Ridley, John Boyega, and Oscar Isaac in the Star Wars sequel.",,,,
1693,1854,Lawrence Kasdan wrote the screenplay for the Star Wars sequel.,,,,
1694,1854,Two films were released in the original Star Wars trilogy.,,,,
1695,1854,"Along with John Boyega, Adam Driver and Oscar Isaac, Daisy Ridley co-starred in the Star Wars sequel.",,,,
1696,1854,Mark Hamill played Carrie Fisher in Star Wars: The Force Awakens.,,,,
1697,1854,The previous two films were released approximately three years apart.,,,,
1698,1854,Carrie Fisher starred in the Star Wars sequel.,,,,
1699,2444,Dolly Parton received at least one nomination from the Academy Awards.,,,,
1700,2444,Dolly Parton starred in the film Rhinestone.,,,,
1701,2444,Dolly Parton has received at least one nomination from the Academy Awards.,,,,
1703,2444,Dolly Parton has been nominated for the Tony Awards.,,,,
1704,2444,Dolly Parton starred in 9 films.,,,,
1705,2444,Dolly Parton starred in the film Steel Magnolias.,,,,
1706,2444,The Best Little Whorehouse is located in Texas.,,,,
1707,2444,"Dolly Parton has received at least one nomination from the Academy Awards, Grammy Awards, Tony Awards and Emmy Awards.",,,,
1708,2444,"Dolly Parton is one of the few to have received at least one nomination from the Academy Awards, Grammy Awards, Tony Awards and Emmy Awards.",,,,
1709,2444,"Dolly Parton has received at least one nomination from the Academy Awards, Tony Awards, and Grammy Awards.",,,,
1710,2444,"Dolly Parton starred in films such as Rhinestone, Steel Magnolias, and 9 to a 5 rating.",,,,
1711,2444,Dolly Parton starred in the film The Best Little Whorehouse.,,,,
1712,3102,Ted Kaczynski was a journalist.,,,,
1713,3102,FBI pushed for the publication of Ted Kaczynski's manifesto.,,,,
1714,3102,"The FBI pushed for the publication of Kaczynski's ""Manifesto"".",,,,
1715,3102,Ted Kaczynski was the name of the person who pushed for the publication of Kacowski's manifesto.,,,,
1716,3102,Janet Reno was Kaczynski's attorney general.,,,,
1717,159,Seinfeld is the name of the show that has been distributed by Sony Pictures Television since 2002.,3311,356,3311,356
1718,159,David Mandel wrote the script for Seinfeld.,3311,356,3311,356
1719,159,Tom Gammill wrote the script for Seinfeld.,3211,356,3211,356
1720,159,Seinfeld finished in the top two ratings with NBC's ER from 1994 to 1998.,3311,356,3311,356
1721,159,David wrote the script for Seinfeld.,3311,356,3311,356
1722,159,Alec Berg wrote the script for Seinfeld.,3311,356,3311,356
1723,159,Steve Koren wrote the script for Seinfeld.,3311,356,3311,356
1724,159,Dan O'Keefe wrote the script for Seinfeld.,3311,356,3311,356
1725,159,Jeff Schaffer wrote the script for Seinfeld.,3211,356,3211,356
1726,159,Marjorie Gross wrote the script for Seinfeld.,3211,356,3211,356
1727,159,Elaine Pope was a script writer for Seinfeld.,3311,356,3311,356
1728,159,Sony Pictures Television distributed Seinfeld in syndication.,3311,356,3311,356
1729,159,Gregg Kavet wrote the script for Seinfeld.,3211,356,3211,356
1730,159,"Along with Larry Charles, Peter Mehlman, Greg Kavet, Carol Leifman, Carolleifman, Greg Koren, Dan O'Kee, and Spike Feresten.",1011,356,1011,356
1731,159,Charlie Rubin wrote the script for Seinfeld.,3211,356,3211,356
1732,159,Seinfeld led the Nielsen ratings in seasons six and nine.,3311,356,3311,356
1733,159,Seinfeld had two top ratings between 1994 and 1998.,1211,356,1211,356
1734,159,Seinfeld began syndication in 2002.,1311,356,1311,356
1735,159,"Along with Larry Charles, Carol Leifer, Gregg Kavet, Carolleifer, Carol, Leifer, Mandel, and Critt, Peter Mehlman is also a part of the group.",0301,356,0301,356
1736,159,Seinfeld finished in the top two ratings with NBC every year from 1994 to 1998.,3211,356,3211,356
1737,159,Max Pross wrote the script for Seinfeld.,3211,356,3211,356
1738,159,"Along with Peter Mehlman, Gregg Kavet, Carol Leifer, David Mandel, Steve Koren, Jennifer Crittenden, Larry Charles.",3011,356,3011,356
1739,159,Carol Leifer was a script writer for Seinfeld.,3311,356,3311,356
1740,159,Jennifer Crittenden wrote the script for Seinfeld.,3311,356,3311,356
1741,159,Seinfeld had a Nielsen rating in season six and nine of American Idol.,0111,356,0111,356
1742,1322,Agassi's first career grand slam was the Career Golden Slam.,1211,353,1211,353
1743,1322,Agassi ranked first among two men to achieve the Career Golden Slam.,3311,353,3311,353
1744,1322,Agassi won the ATP Tour World Championships in 1990.,3311,353,3311,353
1745,1322,Agassi has won one career grand slam.,2211,353,2211,353
1746,1322,Agassi was American.,3311,353,3311,353
1747,1322,Rafael Nadal was the other player to win the Career Golden Slam.,3301,353,3301,353
1748,1322,"Agassi was a part of winning the Davis Cup in 1990, 1992 and 1995.",3210,353,3210,353
1749,1322,Agassi won the Career Grand Slam in the Open Era.,3311,353,3311,353
1750,1322,Agassi won the Australian Open in 2003.,3311,353,3311,353
1751,1322,Agassi won a career Grand Slam in the Open Era.,3211,353,3211,353
1752,1322,Agassi won the French Open in 1999.,3311,353,3311,353
1753,1322,Agassi won the Davis Cup in 1995.,3311,353,3311,353
1754,1322,Sports Illustrated called Agassi's career grand slam a career Super Slam.,1211,353,1211,353
1755,1322,Five men have achieved the Career Grand Slam in the Open Era.,3311,353,3311,353
1756,1322,Agassi is one of five male singles players to achieve the Career Grand Slam in the Open Era and one of eight in history.,3310,353,3310,353
1757,1322,Agassi won 17 ATP Masters Series titles.,3311,353,3311,353
1758,1322,Agassi won the ATP Masters Series titles.,3311,353,3311,353
1759,1322,Agassi has won eight career grand slams.,2211,353,2211,353
1760,1322,Agassi won the Grand Slam title in the Open Era.,2311,353,2311,353
1761,1322,Agassi is the name of the American singles player who won the Career Grand Slam in the Open Era.,3310,353,3310,353
1763,1322,"Along with the Career Golden Slam, Agassi won the Olympic Gold Medal.",1311,353,1311,353
1764,1322,Agassi has won two career grand slams.,2211,353,2211,353
1766,1322,"Sports Illustrated called Agassi a ``Career Super Slam"".",1311,353,1311,353
1767,1322,Agassi won four Grand Slam tournaments.,3311,353,3311,353
1769,1322,Agassi won the Davis Cup in 1992.,3311,353,3311,353
1771,1322,Agassi won three different surfaces.,0311,353,0311,353
1772,5001,Barcelona has won four Copa de la Liga trophies.,,,,
1773,5001,"Barcelona has won 24 La Liga, 29 Copa del Rey, 12 Supercopa de Espaa, 3 Copa Eva Duarte.",,,,
1774,5001,Barcelona has won three Inter-Cities Fairs Cups.,,,,
1775,5001,Barcelona has won the Copa Eva Duarte trophy.,,,,
1776,5001,Barcelona's record for winning a cup is UEFA Cup Winners' Cup.,,,,
1777,5001,Barcelona was ranked first in the IFFHS Club World Ranking in 1997.,,,,
1778,5001,Barcelona was ranked first in the IFFHS Club World Ranking in 2009.,,,,
1779,5001,Barcelona has won 24 domestic La Liga leagues.,,,,
1780,5001,Barcelona is the record holder for the Copa de la Liga.,,,,
1781,5001,Barcelona was ranked first in the IFFHS Club World Ranking in 2011.,,,,
1782,5001,Barcelona was ranked first in the IFFHS Club World Ranking in 2012.,,,,
1783,5001,Barcelona has won one European Cup.,,,,
1784,5001,"Barcelona was ranked first in the IFFHS Club World Ranking in 1997, 2009, 2011, 2012, and 2015.",,,,
1785,5001,Barcelona has won 3 Copa Eva Duarte trophies domestically.,,,,
1786,5001,Barcelona has won the Copa del Rey competition 29 times domestically.,,,,
1787,5001,Barcelona has won four Champions League titles in the UEFA league.,,,,
1788,5001,Barcelona's record for wins in international club football is FIFA Club World Cup.,,,,
1789,5001,Barcelona has won five UEFA Super Cups.,,,,
1790,5001,Barcelona has won 29 Copa del Rey trophies domestically.,,,,
1791,5001,Barcelona has won the Inter-Cities Fairs Cup three times.,,,,
1792,5001,Barcelona has won 24 La Liga titles domestically.,,,,
1793,5001,Barcelona currently ranks third in the UEFA club rankings.,,,,
1794,5001,Barcelona has won the Supercopa de España competition 12 times domestically.,,,,
1795,5001,Barcelona was ranked first in the IFFHS Club World Ranking in 2015.,,,,
1796,5001,Barcelona has won 12 Supercopa de Espaa trophies domestically.,,,,
1797,5001,"In international club football, Barcelona has won European UEFA Champions League titles.",,,,
1798,5001,Barcelona has won the World title in international club football.,,,,
1799,5001,"Barcelona was ranked first in 1997, 2009, 2011, 2012, and 2015 in the IFFHS Club World Ranking.",,,,
1800,5001,Barcelona has won twenty European and World titles.,,,,
1801,5001,Barcelona has won 2 La Liga titles domestically.,,,,
1802,5001,FC Barcelona has won the UEFA Champions League title domestically.,,,,
1803,5001,Barcelona has won the UEFA Super Cup five times.,,,,
1804,5001,Barcelona has won four European and World titles in the UEFA Champions League.,,,,
1805,2767,"Along with Superbad, Pineapple Express and The Green Hornet, Rogen co-wrote the film ""This Is the End"" with Goldberg.",,,,
1806,2767,Goldberg co-wrote Superbad with Seth Rogen.,,,,
1807,2767,Goldberg voiced for the movie Sausage Party.,,,,
1808,2767,Rogen co-wrote Superbad with Goldberg.,,,,
1809,2767,"Rogen co-wrote the films Superbad, Pineapple Express, The Green Hornet, and This Is the End.",,,,
1810,2767,Goldberg directed The Interview with Seth Rogen.,,,,
1811,2767,"Along with Superbad and The Green Hornet, Goldberg co-wrote Pineapple Express with Seth Rogen.",,,,
1812,2767,The name of the film series that Goldberg starred in is Kung Fu Panda.,,,,
1813,2767,"Along with Paul and Sausage Party, Goldberg also voiced for The Spiderwick Chronicles and Monsters vs. Aliens.",,,,
1814,2767,Seth Rogen voiced for the film Horton Hears a Who!.,,,,
1815,2767,Goldberg co-wrote the film Seth RogenRogen with Seth Rogg.,,,,
1816,2767,"Along with Sausage Party and Monsters vs. Aliens, Rogen voiced for Paul.",,,,
1817,2767,"Along with Superbad, Pineapple Express and This Is the End, Rogen co-wrote The Green Hornet with Goldberg.",,,,
1818,1023,Thérèse was released in 2013.,,,,
1819,1023,The previous name of In Secret In Secret was Thérèse.,,,,
1820,1023,The nationality of the film Thérèse is American.,,,,
1821,1023,In Secret In Secret was screened at Toronto International Film Festival.,,,,
1822,1023,Émile Zola's wrote the novel Thérèse Raquin.,,,,
1823,1023,The name of the novel is based on Thérèse Raquin.,,,,
1824,1023,Elizabeth Olsen starred in the film Thérèse Raquin.,,,,
1825,1023,Thérèse was screened in the Special Presentation section of the 2013 Toronto International Film Festival.,,,,
1826,1023,"The name of the 2013 film that stars Elizabeth Olsen, Tom Felton, Oscar Isaac and Jessica Lange is SecretIn Secret.",,,,
1827,1023,Charlie Stratton directed In Secret In Secret.,,,,
1828,1023,"Along with Elizabeth Olsen, Tom Felton, Jessica Lange and Tom Felon, Oscar Isaac starred in the film.",,,,
1829,1023,"Along with Elizabeth Olsen, Tom Felton, Oscar Isaac and Oscar Isaac, Jessica Lange starred in the film.",,,,
1830,1023,Thérèse Raquin was written in 1867.,,,,
1831,1023,Tom Felton portrayed Elizabeth Olsen in the film.,,,,
1832,4375,Minions has grossed over $ 1.1 billion worldwide.,,,,
1833,4375,Minions is the highest-grossing non-Disney animated film.,,,,
1834,4375,Minions has grossed more than Despicable Me.,,,,
1835,4375,"Along with Hamm, Bullock was praised for his performances in Minions.",,,,
1836,4375,Minions ranks as the thirteenth highest grossing film of all time.,,,,
1837,4375,Minions ranks second as the highest-grossing animated film of all time.,,,,
1838,4375,"A sequel to Minions is scheduled to be released on July 3, 2020.",,,,
1839,4375,"Along with Bullock, Hamm was praised for his performances in Minions.",,,,
1840,5811,Scott was the director of Prometheus.,,,,
1841,5811,The name of the 2012 Alien film was Prometheus.,,,,
1842,5811,Prometheus was a part of the Alien franchise.,,,,
1844,5811,Scott showed interest in the Alien vs. Predator film in 2009.,,,,
1845,5811,The name of the sequel to Alien was Predator.,,,,
1846,5811,Development of Prometheus began in the early 2000s.,,,,
1847,5811,Prometheus was released in 2012.,,,,
1848,5811,Alien vs. Predator took precedence in 2003.,,,,
1849,5811,The first Alien film was made in 1979.,,,,
1851,5811,James Cameron directed Prometheus.,,,,
1852,5811,There were fifth installments in the Alien franchise.,,,,
1853,2142,The name of the 2007 film adaptation of the Neil Gaiman novel is Stardust.,,,,
1854,2142,Jason Flemyng is the lead actor in Stardust.,,,,
1855,2142,Stardust was released in 2007.,,,,
1856,2142,Ricky Gervais is the star of Stardust.,,,,
1857,2142,Neil Gaiman wrote the novel of the same name.,,,,
1858,2142,"Along with Matthew Vaughn, Jane Goldman co-wrote Stardust.",,,,
1859,2142,Robert De Niro is the star of Stardust.,,,,
1860,2142,Sienna Miller is the lead actress in Stardust.,,,,
1861,2142,The voice of Stardust was narrated by Ian McKellen.,,,,
1862,2142,Matthew Vaughn directed Stardust.,,,,
1863,2142,"Along with Claire Danes, Charlie Cox, Sienna Miller, Mark Strong, Robert De Niro and Michelle Pfeif, Peter O'Toole is also a part of the group.",,,,
1864,2142,Rupert Everett is the star of Stardust.,,,,
1865,2142,The name of the 2007 film adaptation of the Neil Gaiman novel is Stardust (2007).,,,,
1866,2142,Vaughn directed Stardust.,,,,
1867,2142,Mark Strong is the star of Stardust.,,,,
1868,2142,The novel Stardust was written in 1999.,,,,
1870,2142,Charlie Cox is the lead actor in Stardust.,,,,
1871,2142,Claire Danes is the star of Stardust.,,,,
1872,2142,Michelle Pfeiffer is the star of Stardust.,,,,
1873,1510,The name of the artist who released Stone Cold Rhymin is Young MC.,,,,
1874,1510,The MC for Stone Cold Rhymin was Young.,,,,
1875,1510,The name of Young's debut album was Stone Cold Rhymin'.,,,,
1876,5684,One of the 17 megadiverse countries is Brazil.,,,,
1877,5684,Brazil has one megadiverse country.,,,,
1878,5684,Pedro Álvares Cabral claimed the area for the Portuguese Empire.,,,,
1879,5684,Pedro lvares Cabral claimed the area for the Portuguese empire.,,,,
1880,5684,Brazil became a Portuguese colony in 1808.,,,,
1881,5684,The capital of the Portuguese empire was transferred to Rio de Janeiro in 1808.,,,,
1882,5684,Pedro lvares Cabral landed in Brazil in 1500.,,,,
1883,5684,Brazil is 17 megadiverse countries.,,,,
1884,5684,The capital of the Portuguese empire was transferred to Lisbon.,,,,
1886,5510,The name of Jordan Peele's horror film is Get Out.,,,,
1887,5510,Get Out was released in the U.S on February 24.,,,,
1888,5510,The name of the character in Get Out is Caleb Landry Jones.,,,,
1889,5510,Daniel Kaluuya stars in Get Out.,,,,
1890,5510,"Along with Daniel Kaluuya, Allison Williams, Lil Rel Howery, Bradley Whitford, Caleb Landry Jones and Stephen, Catherine Keener is also a part of the group.",,,,
1891,5510,Get Out is American.,,,,
1892,5510,Get Out was released in 2017.,,,,
1893,5510,Get Out was theatrically released in the United States.,,,,
1894,5510,Bradley Whitford starred in Get Out.,,,,
1895,5510,"Along with Daniel Kaluuya, Allison Williams, Bradley Whitford, Caleb Landry Jones, Stephen Root and Catherine Keener, Lil Rel Howery is Lil Rel.",,,,
1896,5510,"Jordan Peele wrote, co-produced and directed Get Out.",,,,
1897,5510,Get Out premiered at the Sundance Film Festival.,,,,
1898,5510,"Get Out premiered at the Sundance Film Festival on January 24, 2017.",,,,
1899,5510,The name of the character in Get Out is Stephen Root.,,,,
1900,5510,"Along with Daniel Kaluuya, Lil Rel Howery, Bradley Whitford, Caleb Landry Jones, Stephen Root and Catherine, Allison Williams is also a part of the group.",,,,
1901,5510,Universal Pictures released Get Out in the US.,,,,
1902,4911,Christopher Lloyd received the Daytime Emmy Award for his role as The Hacker.,,,,
1903,4911,Christopher Lloyd was a guest on Road to Avonlea.,,,,
1904,4911,Christopher Lloyd guest on Road to Avonlea in 1992.,,,,
1905,4911,Road to Avonlea earned Christopher Lloyd a third Emmy.,,,,
1906,4911,Christopher Lloyd voiced The Hacker on the PBS Kids.,,,,
1907,4911,The name of the PBS Kids series where Christopher Lloyd portrayed The Hacker was Cyberchase (2002 - 2015).,,,,
1908,4911,Christopher Lloyd received two Emmy nominations for his role as The Hacker.,,,,
1909,4911,Christopher Lloyd received a third Emmy award for his guest appearance on Road to Avonlea.,,,,
1910,1633,The most successful film in box-office history is Gone with the Wind.,,,,
1911,1633,Gone with the Wind held the box-office record for over a quarter of a century.,,,,
1912,5746,James McAvoy won the Golden Globe Award for Atonement.,,,,
1913,5746,McAvoy's second award is BAFTA.,,,,
1914,5746,Kevin Macdonald's The Last King of Scotland was released in 2006.,,,,
1915,5746,James McAvoy portrayed Angelina Jolie in Wanted.,,,,
1916,5746,The name of Kevin Macdonald's 2006 drama was The Last King of Scotland.,,,,
1917,5746,James McAvoy starred in Wanted (2008) with Angelina Jolie.,,,,
