id,sentence,claims,focus,coverage,redundance,model,user,cross_focus,cross_coverage,cross_users
121,3349,"The name of the first episode of the third series of Black Mirror is Nosedive.
Charlie Brooker wrote the teleplay for Black Mirror.
Black Mirror is British.
Rashida Jones wrote the teleplay for Nosedive.
Michael Schur wrote the teleplay for Nosedive.
Joe Wright acted as director of Black Mirror.
Michael Schur and Rashida Jones wrote the teleplay for the first episode of Black Mirror.
The name of the third series of British science fiction anthology series is Black Mirror.
Black Mirror is the third series.",,,,qacg,,,,
122,6479,"Another name for the Penibaetic System is Sistema Penibético.
The Mulhacén is 3,478 m.
The Penibaetic System is the highest point in the Penibaet System.
Three mountain ranges are in the Baetic System.
Another name for the Penibaetic System is Cordillera Penibética.
The Penibaetic System is located in the Iberian Peninsula.
The highest point in the Penibaetic System is located in the Sierra Nevada.
The highest point in the Penibaetic System is Mulhacén.
The southernmost of the three systems of mountain ranges in the southern Iberian Peninsula is the Baetic System.",,,,qacg,,,,
123,4103,"Philip V was from Spain.
Philip V's reign was 21 days long.
Philip was the first member of the House of Bourbon to rule as king of Spain.
Philip V was the first member of the House of Bourbon to rule as king of Spain.
Philip V's reign was 45 years long.
Philip V had two reigns.
Philip V was first rank as a member of the House of Bourbon.
Philip V of Spain was a member of the House of Bourbon.
The sum of Philip V's reigns is the longest in modern Spanish history.",,,,qacg,,,,
124,1902,"Melvin B. Tolson was in The Great Debaters in 2007.
Denzel Washington Jr. portrayed Malcolm X. in Malcolm X.
Denzel Hayes Washington Jr is Denzel Washington.
Denzel Washington Jr. starred in the war drama film Glory (1989).
Denzel Washington Jr is American.
Denzel Washington Jr. portrayed Steve Biko in Cry Freedom.
Malcolm X is Muslim.
Rubin ""Hurricane"" Carter was the boxer in The Hurricane.
Melvin B. Tolson starred in The Great Debaters.
Herman Boone played in the movie Remember the Titans in 2000.
Steve Biko is South African.
Herman Boone was the football coach in Remember the Titans.
Denzel Hayes Washington Jr.'s real name was Washington.
Frank Lucas was the drug kingpin in American Gangster.
Training Day was released in 2001.
Cry Freedom was released in 1987.
Denzel Washington Jr. has won the Golden Globe award.
Denzel Washington Jr. portrayed Melvin B. Tolson in The Great Debaters.
Herman Boone starred in Remember the Titans in 2000.
Denzel Washington Jr. has won two Academy Awards.
Cry Freedom was the name of Steve Biko's 1987 film.
Rubin ""Hurricane"" Carter was in The Hurricane in 1999.
Denzel Washington Jr. was born on December 28, 1954.
Denzel Washington Jr. received the award of best actor for his role as a corrupt cop in Training Day.
Malcolm X was released in 1992.
Denzel Washington's real name was Denzel Hayes Washington Jr..
Denzel Washington Jr. won Best Actor in the 2001 film Training Day.
Rubin Carter starred in the film ""The Hurricane"" in 1999.
Denzel Washington Jr. won the Academy Awards: Best Supporting Actor for Glory.
Denzel Washington Jr. received a Tony Award.
Denzel Washington Jr. first received critical acclaim in the 1980s.
Frank Lucas starred in the film American Gangster.
Denzel Washington Jr. has won three Golden Globe awards.",,,,qacg,,,,
125,1326,"Ozzy Osbourne was a member of the Black Sabbath band.
Ozzy Osbourne is from Birmingham.
Osbourne is the nickname of Ozzy Osbourne.
Ozzy Osbourne received the Global Icon Award in 2014.
Ozzy Osbourne received the Global Icon Award at the 2014 MTV Europe Music Awards.
Ozzy Osbourne belonged to the UK Music Hall of Fame as a solo artist.
Along with the Birmingham Walk of Stars, Ozzy Osbourne's Hollywood Walk of Fame is the Hollywood Walk.
Ozzy Osbourne was inducted into the Rock and Roll Hall of Fame as a member of Black Sabbath.
Ozzy Osbourne's accent is Brummie.
Ozzy Osbourne received the Global Icon Award at MTV Europe Music Awards.
Ozzy Osbourne's hometown star on is the Birmingham Walk of Stars.
Ozzy Osbourne was inducted as a member of Black Sabbath in the Rock and Roll Hall of Fame.",,,,qacg,,,,
126,1475,"Otto was the Holy Roman Emperor.
Otto defeated Magyars at the Battle of Lechfeld.
The Roman Catholic Church was located in Germany.
The Hungarians invaded Western Europe in 955.
Otto I transformed the Roman Catholic Church in Germany.
Otto defeated the Magyars at the Battle of Lechfeld.
Otto I's religion was holy Roman.
Otto gained a reputation as a savior of Christendom.
Otto defeated Magyars at the Battle of Lechfeld.
Otto defeated the Magyars in 955.
Otto I transformed the Roman Catholic Church in Germany.
Otto I ended the Hungarian invasions of Western Europe.",110000000001,110,000000000000,qacg,356,110000000001,110,356
127,178,"Margot Kidder became a naturalized U.S. citizen in 2005.
Margot Kidder won an Emmy Award in 2015.
Margot Kidder became a citizen of the U.S. in 2005.
The Vagina Monologues was the name of the musical that Margot Kidder starred in on Broadway in 2002.
Margot Kidder appeared in a production of The Vagina Monologues at Broadway.
Margot Kidder became a naturalized U.S. citizen in 2005.
The name of Margot's role on R.L. Stine's The Haunting Hour was Kidder.
Margot Kidder appeared on Broadway in The Vagina Monologues in 2002.
Margot Kidder won an Emmy Award for her role on R.L. Stine's The Haunting Hour.
Margot Kidder won an Emmy Award for her role on R.L. Stine's The Haunting Hour.
The name of R.L. Stine's children's television show was The Haunting Hour.",,,,qacg,,,,
128,373,"Dean Martin's nickname was Dean Martin.
Dean Martin's birth name was Dino Paul Crocetti.
Dean Martin was American.
Dean Martin died on June 7, 1917 - December 25, 1995.
Dean Martin's nickname was Martin.
Dean Martin was one of the most popular and enduring American entertainers of the mid-20th century.
Dean Martin was one of the most popular and enduring American entertainers in the mid-20th century.
Dean Martin was Italian-American.
Dean Martin got the nickname the ""King of Cool"".",,,,qacg,,,,
129,5343,"Thomas Jefferson founded the University of Virginia after retiring from public office.
Thomas Jefferson founded the University of Virginia.",,,,qacg,,,,
130,2353,"Adrian's first name was Molina.
Along with Monsters University, Adrian Molina worked on Toy Story 3 as a storyboard artist.
Adrian Molina illustrated the Little Golden Book for Toy Story 3.
Adrian Molina worked on the film Coco.
Adrian Molina illustrated the Little Golden Book for Toy Story 3.
Along with Toy Story 3, Adrian Molina worked on Monsters University as a storyboard artist.
The first job for Adrian Molina was first.
Adrian Molina wrote for the movie The Good Dinosaur.",,,,qacg,,,,
131,6174,"The name of the guide books published by Michelin is Michelin.
The oldest reference guide in Europe is Michelin GuideMichelin Guides.
The Michelin Red Guide is a European guide.
The oldest reference guide in Europe is Michelin Red Guide.
The nationality of the company that publishes the Michelin Guides is French.
The Michelin Guides have been published for more than a century.
The Michelin Red Guide is published annually.",,,,qacg,,,,
132,603,"Rachel McAdams played Sacha Pfeiffer in the drama Spotlight.
Rachel McAdams played Sacha Pfeiffer in the second season of True Detective.
Rachel McAdams'highest profile role on HBO in 2015 was True Detective.
Rachel McAdams is the name of the actress who appeared in Morning Glory.
Rachel McAdams appeared in True Detective in 2015.
Rachel McAdams'first movie was Morning Glory.
Rachel McAdams won the Academy Award for Best Supporting Actress for her role in Spotlight.
Rachel McAdams played Sacha Pfeiffer in Spotlight.
HBO produced the crime drama True Detective.
Rachel McAdams first appeared in a movie in 2010.
Rachel McAdams first appeared in the comedy Morning Glory first.
Rachel's first star vehicle was McAdams.",,,,qacg,,,,
133,2843,"Along with John Lennon, Paul McCartney, George Harrison and George Harrison, Ringo Starr was a member of the Beatles.
Along with Paul McCartney, George Harrison and Ringo Starr, John Lennon was a member of the Beatles.
Along with John Lennon, George Harrison, Ringo Starr and George Harrison Paul McCartney was a member of the Beatles.
Along with John Lennon, Paul McCartney and Ringo Starr, George Harrison was a member of the Beatles.
The Beatles formed The Beatles.
The Beatles was formed in Liverpool.
The Beatles were formed in 1960.
The nationality of the Beatles was English.",,,,qacg,,,,
134,5865,"Denmark was an industrialised exporter of agricultural produce in the second half of the 19th century.
The name of the document that ended the absolute monarchy in Denmark was the Constitution of Denmark.
Denmark was an industrialised exporter of agricultural produce in the second half of the 19th century.
The absolute monarchy began in 1660.
The Constitution of Denmark was signed on June 5, 1849.
Denmark introduced social and labour-market reforms in the early 20th century.",,,,qacg,,,,
135,1288,"Just My Luck was released in 2006.
Just My Luck is the name of the romantic comedy film that stars Lindsay Lohan and Chris Pine.
Ashley is from New York.
Just My Luck is American.
Lindsay Lohan plays Ashley in Just My Luck.
Lohan plays Ashley in Just My Luck.
Chris Pine is the main character in Just My Luck.
Ashley is the luckiest girl in Manhattan.
I. Marlene King wrote Just My Luck.
Amy B. Harris wrote the script for Just My Luck.
Ashley is located in Manhattan.
Donald Petrie directed Just My Luck.",,,,qacg,,,,
136,1242,"One of the most popular and influential musical artists of the 20th century was Frank Sinatra.
Frank Sinatra was American.
Frank Sinatra was one of the most popular and influential musical artists during the 20th century.
Frank Sinatra has sold more than 150 million records worldwide.
Frank Sinatra died December 12, 1915 - May 14, 1998.
Francis Albert Sinatra was the real name of Frank Sinatra.
Frank Sinatra was one of the most popular and influential musical artists of the 20th century.",,,,qacg,,,,
137,1029,"The Second Punic War took place in Mediterranean.
The Second Punic War lasted from 218 to 201 BC.
The Second Punic War was the second major war between Carthage and Carthage.
The Second Punic War was the second major war between Carthage and the Roman Republic.
The Second Punic War was the second major war between Carthage and the Roman Republic.
Carthage was allied with the Italic language in the Second Punic War.
The second major war between Carthage and the Roman Republic was the second.
The Numidian-Berber armies participated in the Second Punic War.
Another name for the Second Punic War is the Hannibalic War and (by the Romans) the War Against Hannibal.",,,,qacg,,,,
138,5035,"Venice is the birthplace of Antonio Vivaldi.
Venice was ranked as the most beautiful city in the world in 2016.
Antonio Vivaldi was born in Venice.",,,,qacg,,,,
139,3974,"Hotel Transylvania is an American 3D film.
Genndy Tartakovsky directed Hotel Transylvania.
Kevin James starred in Hotel Transylvania.
Along with Adam Sandler, Andy Samberg, Kevin James, Steve Buscemi, Molly Shannon, David Spade, and CeeLo Green.
Michelle Murdocca produced Hotel Transylvania.
Molly Shannon starred in Hotel Transylvania.
Adam Sandler starred in Hotel Transylvania.
Along with CeeLo Green, David Spade starred in Hotel Transylvania.
Hotel Transylvania is the name of the film that stars Adam Sandler, Andy Samberg, Kevin James, Steve Buscemi, Molly Shannon, and David.
Andy Samberg starred in Hotel Transylvania.
Steve Buscemi starred in Hotel Transylvania.
Columbia Pictures produced Hotel Transylvania.
Hotel Transylvania was released in 2012.
Sony Pictures Animation produced Hotel Transylvania.
Franz Drescher starred in Hotel Transylvania.
Along with Adam Sandler, Andy Samberg, Kevin James, Fran Drescher, Steve Buscemi, Molly Shannon and David Spade, Selena Gomez is also a part of the Adam Sandlers family.",,,,qacg,,,,
140,2133,"The third largest region of England is England.
Greater London is the name of the largest city in South East England.
Along with Brighton, Chichester, Oxford, Southampton, Southampton and Winchester, Hove is in South East England.
Along with Brighton and Hove, Canterbury, Oxford, Portsmouth, Southampton and Winchester, Chichester is in South East England.
There are seven cities in South East England.
The population of South East England was over eight and a half million in 2011.
Along with Reading, Milton Keynes is in the south east.
The area of South East England is 19,096 km ².
Oxford is the name of the city in South East England.
The population of South East England in 2011 is over eight and a half million.
The headquarters for the region's governmental bodies is located in Guildford.
The third largest region of England is South East England.
Along with Brighton and Hove, Canterbury, Chichester, Oxford, Portsmouth, Southampton and Southampton, Winchester is located in South East England.
South East England ranks third among the largest regions of England.
Along with Milton Keynes, a major settlement in the south east is Reading.
Along with Winchester and Brighton and Hove, Southampton is in South East England.
The area of South East England is 7,373 sq mi.
Along with Chichester, Oxford, Portsmouth, Southampton and Winchester, Canterbury is in the south east.
Along with Hove, Canterbury, Chichester, Oxford, Portsmouth, Southampton and Winchester, Brighton is in South East England.
The name of the city in South East England is Portsmouth.",,,,qacg,,,,
141,5321,"The closest neighbor to Vanuatu is Fiji.
The closest neighbor to Fiji to the east is Tonga.
The name of the closest island to Fiji is Kermadec Islands.
Fiji's closest neighbor to the southwest is New Caledonia.
There are more than 330 islands in the archipelago of Fiji.
The closest neighbor to Fiji is Tuvalu.
The name of the closest neighbor to Fiji is Samoas.
There are more than 500 islets in Fiji.
The total land area of Fiji is about 18300 km2.
The name of the closest neighbor to Fiji is New Zealand's.
The name of the closest island to Fiji is Futuna.
Along with the Samoas and Futuna, Wallis is the closest neighbor of Fiji.
The farthest island from Fiji is Ono-i-Lau.
110 of Fiji's islands are permanently inhabited.
Fiji's closest neighbor is Vanuatu.
Wallis and Futuna is in France.",,,,qacg,,,,
142,6419,"The previous name of French Indochina was French.
The Indochinese Union was officially known as the Union indochinoise in 1887.
Along with Cochinchina, Annam was formed in 1887.
The original name of French Indochina was IndochineFrench.
French Indochina was formerly spelled as China.
Another name for the Indochinese Federation is Fédération.
The French Indochina was officially known as the Indochinese Federation after 1947.
The Indochinese Federation was formed in 1947.
Tonkin, Annam, and Cochinchina are two regions of Vietnamese nationality.
The abbreviation for French Indochina is Cantonese.
The Indochinese Union was located in Southeast Asia.
The name of the north Vietnamese region is Tonkin.
French Indochina was formerly spelled as Indochine.
The French Indochina grouped with Cambodia in 1887.
The name of the southern region of the French Indochina was Cochinchina.
The official name of French Indochina was the Indochinese Union.
The Indochinese Union had three Vietnamese regions.",,,,qacg,,,,
143,2721,"Along with Telugu, Sayyeshaa appears in Tamil.
Sayyeshaa made her Bollywood debut in Ajay Devgn's Shivaay.
Sayyeshaa is Indian.
Sayyeshaa appears in Telugu.
Sayyeshaa appears in Telugu.
Sayyeshaa first appeared in Bollywood films.
Sayyeshaa starred in the Telugu film Akhil (2015).
Sayyeshaa made her Bollywood debut in 2016.
Sayyeshaa appears in Hindi.
SayyeshaaSayyeshashaa is the name of Sayyesha a Sayyeshasaa.",,,,qacg,,,,
144,4412,"The name of Avril Goodbye Lullaby was Lavigne.
Lavigne left RCA Records in 2011.
Avril Lavigne ranked fourth on the US Billboard 200 and UK Albums Chart.
Lavigne's fifth album was released on 1 November 2013.
Avril Lavigne released Goodbye Lullaby.
Avril Lavigne's album Goodbye Lullaby reached the top of Billboard 200.
Lavigne left the RCA Records label in 2011.
Avril Lavigne ranked third on the US Billboard 200 and UK Albums Chart.
Avril Lavigne had 1 top album on the US Billboard 200 and UK Albums Chart.
Along with Japan, Goodbye Lullaby landed Lavigne's third number 1 album in Australia.
Avril Lavigne's Goodbye Lullaby ranked on the Billboard 200 in the US.
Epic Records released Lavigne's fifth album.
Avril Lavigne had 10 top albums on the US Billboard 200 and UK Albums Chart.
The title of Avril Lavigne's fourth top 10 album was Goodbye Lullaby.
Goodbye Lullaby was released in Japan.
The title of Avril Lavigne's fourth top 10 album was Goodbye Lullaby.
Lavigne began work on her fifth album three months after Goodbye Lullaby.
Avril Lavigne's album Goodbye Lullaby reached the UK Albums Chart.
The title of Lavigne's eponymous album was fifth.",,,,qacg,,,,
145,662,"Amos & Andrew was released in 1993.
Black Snake Moan was released in 2006.
Jackson's likeness was used for the Ultimate version of Nick Fury.
Jackie Brown was released in 1997.
The name of Samuel L. Jackson's 1992 film was Patriot Games.
Samuel L. Jackson appeared in the Star Wars prequel trilogy.
Samuel L. Jackson appeared in Unbreakable (2000).
Django Unchained was released in 2012.
The name of Samuel L. Jackson's 2006 film was Black Snake Moan.
The Star Wars prequel trilogy began in 1999-2005.
Samuel L. Jackson collaborated with Quentin Tarantino on Pulp Fiction.
The name of Samuel L. Jackson's 2012 film was Django Unchained.
Jungle Fever was released in 1991.
Pulp Fiction was released in 1994.
Samuel L. Jackson's real name was Jackson.
The name of the movie that Samuel L. Jackson starred in was Die Hard with a Vengeance (1995).
True Romance was the name of Samuel L. Jackson's 1993 film.
The name of Samuel L. Jackson's 1993 film was Amos & Andrew.
Samuel L. Jackson worked for Marvel Comics.
Samuel L. Jackson worked with Quentin Tarantino on The Hateful Eight (2015).
Snakes on a Plane was the name of the 2006 film starring Samuel L. Jackson.
The name of the 2001 film that Samuel L. Jackson starred in was The 51st State (2001).
Along with Samuel L. Jackson, Quentin Tarantino directed Pulp Fiction.
Samuel L. Jackson appeared in the Marvel Cinematic Universe.
Samuel L. Jackson starred in Jungle Fever.
Patriot Games was released in 1992.
The name of Samuel L. Jackson's 1993 film was Jurassic Park.
Samuel L. Jackson appeared in over 100 films.
The Ultimate version of Jackson's character was Nick Fury.
Samuel L. Jackson achieved fame and critical acclaim in the early 1990s.
The name of the film that Samuel L. Jackson starred in was Shaft (2000).
The name of Samuel L. Jackson's 1991 film was Jungle Fever.
Samuel L. Jackson collaborated with Quentin Tarantino on the film Jackie Brown in 1997.",,,,qacg,,,,
146,1996,"Uncle Ben raised Spider-Man.
Spider-Man's creators gave him Spider-ManLee as a teenager.
Spider-Man's gave him super strength and agility.
The name of the character created by Lee and Ditko was Spider-Man.
Spider-Man first appeared in the early 1960s.
Aunt May raised Spider-Man.
Ditko created Spider-Man.
Spider-Man first appeared first.",,,,qacg,,,,
147,147,"Kenny Rogers was voted the ""favorite Singer of All-Time"" by readers of both USA Today and People in 1986.
Two of Kenny Rogers albums are featured in the About.com poll of ""The 200 Most Influential Country Albums Ever"".
Kenny Rogers was voted the ""favorite Singer of All-Time"" in 1986.
Kenny Rogers announced his retirement on September 25, 2015.
Kenny Rogers announced that he was retiring from the show business.
USA Today voted Kenny Rogers the ""favorite Singer of All-Time"" in 1986.
People voted Kenny Rogers the ""favorite Singer of All-Time"" in 1986.
Kenny Rogers was Rogers.
Kenny was voted the favorite Singer of All-Time in a 1986 poll.
Kenny Rogers announced his retirement on NBC's Today Show.
About.com featured The Gambler and Kenny in a poll.
The Gambler and Kenny are featured in the About.com poll ""The 200 Most Influential Country Albums Ever"".
The Gambler is the Kenny Rogers'album that is featured in the About.com poll of ""The 200 Most Influential Country Albums Ever"".",,,,qacg,,,,
148,599,"David Leitch directed Atomic Blonde.
Atomic Blonde is American.
Atomic Blonde was released in 2017.
Kurt Johnstad wrote Atomic Blonde.
Antony Johnston wrote The Coldest City.
Sam Hart's wrote The Coldest City.
The Coldest City was published in 2012.
The name of the graphic novel that was based on Atomic Blonde was The Coldest City.
The name of the spy thriller film Atomic Blonde is Atomic Blende.",,,,qacg,,,,
149,3740,"Princess Agents is Chinese.
Princess Agents is the name of the 2017 Chinese television series based on the novel by Xiao Xiang Dong Er.
Along with Zanilia Zhao and Shawn Dou, Lin Gengxin is the star of Princess Agents.
Princess Agents was released in 2017.
Princess Agents is based on the novel 11.
Xiao Xiang Dong Er wrote the novel 11 Chu Te Gong Huang Fei.
Along with Zanilia Zhao and Lin Gengxin, Shawn Dou stars in Princess Agents.
Zanilia Zhao stars in Princess Agents.
Princess Agents is based on the novel 11 Chu Te Gong Huang Fei.",,,,qacg,,,,
151,2152,"Box Office Mojo ranked Elizabeth Banks as the highest grossing actor of all time by 32nd.
Elizabeth Banks reprise her role as Lindsay in Wet Hot American Summer in 2015.
Scrubs and Modern Family earned Elizabeth Banks a Primetime Emmy Award nomination.
Elizabeth Banks played Lindsay in the Netflix miniseries Wet Hot American Summer.
Elizabeth Banks reprises the role of Lindsay in Wet Hot American Summer for the Netflix miniseries Wet Hot Summer: First Day of Camp.
Elizabeth Banks reprise her role as Lindsay in Wet Hot American Summer: First Day of Camp in 2015.
Elizabeth Banks received the Primetime Emmy Award for her roles on Scrubs and Modern Family.
Box Office Mojo ranked Elizabeth Banks sixth as a female actor.
Box Office Mojo ranked Banks as the 32nd-highest grossing actor of all time.",,,,qacg,,,,
152,1854,"J. J. Abrams directed the Star Wars sequel.
Along with Daisy Ridley, Adam Driver and Oscar Isaac, John Boyega co-starred in the Star Wars sequel.
Along with Daisy Ridley, John Boyega, Adam Driver, and Daisy Ridley, Oscar Isaac co-starred in the sequel.
Along with Lawrence Kasdan, Michael Arndt wrote the screenplay for the Star Wars sequel.
Along with Daisy Ridley, John Boyega, Oscar Isaac, and Carrie Fisher, Adam Driver co-starred in the Star Wars sequel.
The sequel films are planned to be released two years apart.
The name of the sequel to the original trilogy is Star Wars.
Harrison Ford co-starred with Daisy Ridley, John Boyega, and Oscar Isaac in the Star Wars sequel.
Lawrence Kasdan wrote the screenplay for the Star Wars sequel.
Two films were released in the original Star Wars trilogy.
Along with John Boyega, Adam Driver and Oscar Isaac, Daisy Ridley co-starred in the Star Wars sequel.
Mark Hamill played Carrie Fisher in Star Wars: The Force Awakens.
The previous two films were released approximately three years apart.
Carrie Fisher starred in the Star Wars sequel.",,,,qacg,,,,
153,2444,"Dolly Parton received at least one nomination from the Academy Awards.
Dolly Parton starred in the film Rhinestone.
Dolly Parton has received at least one nomination from the Academy Awards.
Dolly Parton has received at least one nomination from the Academy Awards.
Dolly Parton has been nominated for the Tony Awards.
Dolly Parton starred in 9 films.
Dolly Parton starred in the film Steel Magnolias.
The Best Little Whorehouse is located in Texas.
Dolly Parton has received at least one nomination from the Academy Awards, Grammy Awards, Tony Awards and Emmy Awards.
Dolly Parton is one of the few to have received at least one nomination from the Academy Awards, Grammy Awards, Tony Awards and Emmy Awards.
Dolly Parton has received at least one nomination from the Academy Awards, Tony Awards, and Grammy Awards.
Dolly Parton starred in films such as Rhinestone, Steel Magnolias, and 9 to a 5 rating.
Dolly Parton starred in the film The Best Little Whorehouse.",,,,qacg,,,,
154,3102,"Ted Kaczynski was a journalist.
FBI pushed for the publication of Ted Kaczynski's manifesto.
The FBI pushed for the publication of Kaczynski's ""Manifesto"".
Ted Kaczynski was the name of the person who pushed for the publication of Kacowski's manifesto.
Janet Reno was Kaczynski's attorney general.",,,,qacg,,,,
155,159,"Seinfeld is the name of the show that has been distributed by Sony Pictures Television since 2002.
David Mandel wrote the script for Seinfeld.
Tom Gammill wrote the script for Seinfeld.
Seinfeld finished in the top two ratings with NBC's ER from 1994 to 1998.
David wrote the script for Seinfeld.
Alec Berg wrote the script for Seinfeld.
Steve Koren wrote the script for Seinfeld.
Dan O'Keefe wrote the script for Seinfeld.
Jeff Schaffer wrote the script for Seinfeld.
Marjorie Gross wrote the script for Seinfeld.
Elaine Pope was a script writer for Seinfeld.
Sony Pictures Television distributed Seinfeld in syndication.
Gregg Kavet wrote the script for Seinfeld.
Along with Larry Charles, Peter Mehlman, Greg Kavet, Carol Leifman, Carolleifman, Greg Koren, Dan O'Kee, and Spike Feresten.
Charlie Rubin wrote the script for Seinfeld.
Seinfeld led the Nielsen ratings in seasons six and nine.
Seinfeld had two top ratings between 1994 and 1998.
Seinfeld began syndication in 2002.
Along with Larry Charles, Carol Leifer, Gregg Kavet, Carolleifer, Carol, Leifer, Mandel, and Critt, Peter Mehlman is also a part of the group.
Seinfeld finished in the top two ratings with NBC every year from 1994 to 1998.
Max Pross wrote the script for Seinfeld.
Along with Peter Mehlman, Gregg Kavet, Carol Leifer, David Mandel, Steve Koren, Jennifer Crittenden, Larry Charles.
Carol Leifer was a script writer for Seinfeld.
Jennifer Crittenden wrote the script for Seinfeld.
Seinfeld had a Nielsen rating in season six and nine of American Idol.",0000100000000000000000000,10000,0000000000000000000000000,qacg,356,0000100000000000000000000,10000,356
157,5001,"Barcelona has won four Copa de la Liga trophies.
Barcelona has won 24 La Liga, 29 Copa del Rey, 12 Supercopa de Espaa, 3 Copa Eva Duarte.
Barcelona has won three Inter-Cities Fairs Cups.
Barcelona has won the Copa Eva Duarte trophy.
Barcelona's record for winning a cup is UEFA Cup Winners' Cup.
Barcelona was ranked first in the IFFHS Club World Ranking in 1997.
Barcelona was ranked first in the IFFHS Club World Ranking in 2009.
Barcelona has won 24 domestic La Liga leagues.
Barcelona is the record holder for the Copa de la Liga.
Barcelona was ranked first in the IFFHS Club World Ranking in 2011.
Barcelona was ranked first in the IFFHS Club World Ranking in 2012.
Barcelona has won one European Cup.
Barcelona was ranked first in the IFFHS Club World Ranking in 1997, 2009, 2011, 2012, and 2015.
Barcelona has won 3 Copa Eva Duarte trophies domestically.
Barcelona has won the Copa del Rey competition 29 times domestically.
Barcelona has won four Champions League titles in the UEFA league.
Barcelona's record for wins in international club football is FIFA Club World Cup.
Barcelona has won five UEFA Super Cups.
Barcelona has won 29 Copa del Rey trophies domestically.
Barcelona has won the Inter-Cities Fairs Cup three times.
Barcelona has won 24 La Liga titles domestically.
Barcelona currently ranks third in the UEFA club rankings.
Barcelona has won the Supercopa de España competition 12 times domestically.
Barcelona was ranked first in the IFFHS Club World Ranking in 2015.
Barcelona has won 12 Supercopa de Espaa trophies domestically.
In international club football, Barcelona has won European UEFA Champions League titles.
Barcelona has won the World title in international club football.
Barcelona was ranked first in 1997, 2009, 2011, 2012, and 2015 in the IFFHS Club World Ranking.
Barcelona has won twenty European and World titles.
Barcelona has won 2 La Liga titles domestically.
FC Barcelona has won the UEFA Champions League title domestically.
Barcelona has won the UEFA Super Cup five times.
Barcelona has won four European and World titles in the UEFA Champions League.",,,,qacg,,,,
158,2767,"Along with Superbad, Pineapple Express and The Green Hornet, Rogen co-wrote the film ""This Is the End"" with Goldberg.
Goldberg co-wrote Superbad with Seth Rogen.
Goldberg voiced for the movie Sausage Party.
Rogen co-wrote Superbad with Goldberg.
Rogen co-wrote the films Superbad, Pineapple Express, The Green Hornet, and This Is the End.
Goldberg directed The Interview with Seth Rogen.
Along with Superbad and The Green Hornet, Goldberg co-wrote Pineapple Express with Seth Rogen.
The name of the film series that Goldberg starred in is Kung Fu Panda.
Along with Paul and Sausage Party, Goldberg also voiced for The Spiderwick Chronicles and Monsters vs. Aliens.
Seth Rogen voiced for the film Horton Hears a Who!.
Goldberg co-wrote the film Seth RogenRogen with Seth Rogg.
Along with Sausage Party and Monsters vs. Aliens, Rogen voiced for Paul.
Along with Superbad, Pineapple Express and This Is the End, Rogen co-wrote The Green Hornet with Goldberg.",,,,qacg,,,,
159,1023,"Thérèse was released in 2013.
The previous name of In Secret In Secret was Thérèse.
The nationality of the film Thérèse is American.
In Secret In Secret was screened at Toronto International Film Festival.
Émile Zola's wrote the novel Thérèse Raquin.
The name of the novel is based on Thérèse Raquin.
Elizabeth Olsen starred in the film Thérèse Raquin.
Thérèse was screened in the Special Presentation section of the 2013 Toronto International Film Festival.
The name of the 2013 film that stars Elizabeth Olsen, Tom Felton, Oscar Isaac and Jessica Lange is SecretIn Secret.
Charlie Stratton directed In Secret In Secret.
Along with Elizabeth Olsen, Tom Felton, Jessica Lange and Tom Felon, Oscar Isaac starred in the film.
Along with Elizabeth Olsen, Tom Felton, Oscar Isaac and Oscar Isaac, Jessica Lange starred in the film.
Thérèse Raquin was written in 1867.
Tom Felton portrayed Elizabeth Olsen in the film.",,,,qacg,,,,
160,4375,"Minions has grossed over $ 1.1 billion worldwide.
Minions is the highest-grossing non-Disney animated film.
Minions has grossed more than Despicable Me.
Along with Hamm, Bullock was praised for his performances in Minions.
Minions ranks as the thirteenth highest grossing film of all time.
Minions ranks second as the highest-grossing animated film of all time.
A sequel to Minions is scheduled to be released on July 3, 2020.
Along with Bullock, Hamm was praised for his performances in Minions.",,,,qacg,,,,
161,5811,"Scott was the director of Prometheus.
The name of the 2012 Alien film was Prometheus.
Prometheus was a part of the Alien franchise.
Prometheus was a part of the Alien franchise.
Scott showed interest in the Alien vs. Predator film in 2009.
The name of the sequel to Alien was Predator.
Development of Prometheus began in the early 2000s.
Prometheus was released in 2012.
Alien vs. Predator took precedence in 2003.
The first Alien film was made in 1979.
Prometheus was a part of the Alien franchise.
James Cameron directed Prometheus.
There were fifth installments in the Alien franchise.",,,,qacg,,,,
